# L	p	Trials	Time(ms)	Percolation_Prob	Avg_Cluster_Size	Std_Dev
32	0	100	27	0	0	0
32	0.05	100	43	0	0	0
32	0.1	100	56	0	0	0
32	0.15	100	69	0	0	0
32	0.2	100	84	0	0	0
32	0.25	100	99	0	0	0
32	0.3	100	114	0	0	0
32	0.35	100	131	0	0	0
32	0.4	100	152	0	0	0
32	0.45	100	178	0	0	0
32	0.5	100	208	0.03	0	0
32	0.55	100	242	0.25	0.262695	0.0713016
32	0.6	100	289	0.65	0.412204	0.0955569
32	0.65	100	339	0.98	0.551457	0.0845875
32	0.7	100	381	1	0.661991	0.0483755
32	0.75	100	433	1	0.734543	0.0205948
32	0.8	100	475	1	0.79542	0.014134
32	0.85	100	532	1	0.848755	0.0121673
32	0.9	100	549	1	0.898968	0.00896008
32	0.95	100	553	1	0.949046	0.00699869
32	0.56	100	252	0.34	0.273112	0.073446
32	0.57	100	259	0.54	0.320584	0.077481
32	0.58	100	271	0.54	0.33536	0.0884372
32	0.59	100	276	0.7	0.367949	0.0950777
32	0.6	100	286	0.8	0.389852	0.106225
32	0.61	100	294	0.91	0.405244	0.0903001
32	0.62	100	300	0.89	0.438043	0.102253
32	0.63	100	312	0.97	0.46519	0.10505
64	0	100	92	0	0	0
64	0.05	100	153	0	0	0
64	0.1	100	218	0	0	0
64	0.15	100	268	0	0	0
64	0.2	100	342	0	0	0
64	0.25	100	392	0	0	0
64	0.3	100	445	0	0	0
64	0.35	100	513	0	0	0
64	0.4	100	608	0	0	0
64	0.45	100	742	0	0	0
64	0.5	100	818	0	0	0
64	0.55	100	948	0.1	0.17606	0.0411382
64	0.6	100	1171	0.75	0.375829	0.0882437
64	0.65	100	1311	1	0.585612	0.036966
64	0.7	100	1510	1	0.680381	0.0128168
64	0.75	100	1745	1	0.743589	0.00757416
64	0.8	100	1868	1	0.797437	0.00747752
64	0.85	100	2097	1	0.849238	0.00588004
64	0.9	100	2335	1	0.900592	0.00453123
64	0.95	100	2348	1	0.950236	0.00280511
64	0.56	100	1015	0.14	0.213753	0.050672
64	0.57	100	1012	0.29	0.266357	0.0624582
64	0.58	100	1055	0.46	0.299982	0.0752872
64	0.59	100	1093	0.67	0.297888	0.0772451
64	0.6	100	1131	0.79	0.367929	0.0862771
64	0.61	100	1192	0.9	0.406459	0.0941784
64	0.62	100	1225	0.96	0.460391	0.0801212
64	0.63	100	1263	0.99	0.509145	0.067899
128	0	100	390	0	0	0
128	0.05	100	618	0	0	0
128	0.1	100	853	0	0	0
128	0.15	100	1103	0	0	0
128	0.2	100	1214	0	0	0
128	0.25	100	1503	0	0	0
128	0.3	100	1750	0	0	0
128	0.35	100	2050	0	0	0
128	0.4	100	2419	0	0	0
128	0.45	100	2872	0	0	0
128	0.5	100	3410	0	0	0
128	0.55	100	4120	0	0	0
128	0.6	100	4847	0.86	0.361674	0.0854803
128	0.65	100	5674	1	0.605057	0.0118675
128	0.7	100	6314	1	0.684828	0.00520587
128	0.75	100	7033	1	0.744045	0.00378412
128	0.8	100	7858	1	0.797654	0.00347703
128	0.85	100	8855	1	0.849127	0.00287165
128	0.9	100	9719	1	0.89983	0.00232293
128	0.95	100	10321	1	0.949895	0.00159334
128	0.56	100	4339	0.04	0	0
128	0.57	100	4496	0.08	0.19735	0.0371716
128	0.58	100	4585	0.23	0.239971	0.0653182
128	0.59	100	4677	0.59	0.282581	0.0813085
128	0.6	100	4896	0.82	0.357299	0.0900681
128	0.61	100	5052	0.99	0.446144	0.0576692
128	0.62	100	5244	1	0.500115	0.0560986
128	0.63	100	5411	1	0.544357	0.0311982
256	0	50	748	0	0	0
256	0.05	50	1332	0	0	0
256	0.1	50	1831	0	0	0
256	0.15	50	2276	0	0	0
256	0.2	50	2784	0	0	0
256	0.25	50	3349	0	0	0
256	0.3	50	3968	0	0	0
256	0.35	50	4655	0	0	0
256	0.4	50	5498	0	0	0
256	0.45	50	6522	0	0	0
256	0.5	50	7663	0	0	0
256	0.55	50	9047	0	0	0
256	0.6	50	10609	0.86	0.37114	0.0689948
256	0.65	50	12016	1	0.611494	0.00566368
256	0.7	50	13361	1	0.686823	0.0030897
256	0.75	50	14984	1	0.744731	0.00167269
256	0.8	50	16809	1	0.798492	0.00151206
256	0.85	50	18827	1	0.849683	0.00121722
256	0.9	50	20682	1	0.89975	0.00114998
256	0.95	50	22538	1	0.950241	0.00092427
256	0.56	50	9460	0	0	0
256	0.57	50	9604	0	0	0
256	0.58	50	10136	0.12	0.175049	0.00523376
256	0.59	50	10406	0.42	0.263239	0.0799501
256	0.6	50	10783	0.92	0.366608	0.0835939
256	0.61	50	11134	0.98	0.458082	0.0531774
256	0.62	50	11460	1	0.52799	0.0174348
256	0.63	50	11896	1	0.565872	0.0125146
512	0	50	3012	0	0	0
512	0.05	50	5619	0	0	0
512	0.1	50	8859	0	0	0
512	0.15	50	11487	0	0	0
512	0.2	50	14211	0	0	0
512	0.25	50	16866	0	0	0
512	0.3	50	19664	0	0	0
512	0.35	50	22919	0	0	0
512	0.4	50	26087	0	0	0
512	0.45	50	30182	0	0	0
512	0.5	50	36373	0	0	0
512	0.55	50	41589	0	0	0
512	0.6	50	47925	1	0.386671	0.0612378
512	0.65	50	55041	1	0.614515	0.00237988
512	0.7	50	59541	1	0.687377	0.00117671
512	0.75	50	66805	1	0.745113	0.000940681
512	0.8	50	73724	1	0.797917	0.000748669
512	0.85	50	82010	1	0.849524	0.000643007
512	0.9	50	91180	1	0.899723	0.00051347
512	0.95	50	100309	1	0.950026	0.000376261
512	0.56	50	43018	0	0	0
512	0.57	50	44495	0.02	0	0
512	0.58	50	45723	0	0	0
512	0.59	50	47616	0.36	0.214918	0.0613343
512	0.6	50	48709	0.98	0.396699	0.0556966
512	0.61	50	50067	1	0.496664	0.0143806
512	0.62	50	51306	1	0.543475	0.00598057
512	0.63	50	52437	1	0.571501	0.00415149
