# p	Percolation_Prob	Avg_Cluster_Size	Time_ms
0	0	0	529
0.05	0	0	1003
0.1	0	0	1318
0.15	0	0	1704
0.2	0	0	2059
0.25	0	0	2503
0.3	0	0	2986
0.35	0	0	3550
0.4	0	0	4336
0.45	0	0	5044
0.5	0	0	6132
0.55	0	0	7370
0.6	0.96	23860.5	8838
0.65	1	39925.2	10340
0.7	1	44973	11637
0.75	1	48814.4	13234
0.8	1	52323.7	14861
0.85	1	55685.7	16477
0.9	1	58975.4	18532
0.95	1	62277.8	20280
0.52	0	0	6776
0.54	0	0	7206
0.56	0	0	7823
0.58	0.12	13151.2	8561
0.61	1	30670.2	9462
0.62	1	34655.5	9635
0.63	1	37051.2	10030
0.67	1	42268.2	10907
0.68	1	43226.6	11420
