# p	Percolation_Prob	Avg_Cluster_Size	Std_dev	Time_ms
0	0	0	0	3012
0.05	0	0	0	5619
0.1	0	0	0	8859
0.15	0	0	0	11487
0.2	0	0	0	14211
0.25	0	0	0	16866
0.3	0	0	0	19664
0.35	0	0	0	22919
0.4	0	0	0	26087
0.45	0	0	0	30182
0.5	0	0	0	36373
0.55	0	0	0	41589
0.56	0	0	0	43018
0.57	0.02	0	0	44495
0.58	0	0	0	45723
0.59	0.36	0.214918	0.0613343	47616
0.6	0.98	0.396699	0.0556966	48709
0.6	1	0.386671	0.0612378	47925
0.61	1	0.496664	0.0143806	50067
0.62	1	0.543475	0.00598057	51306
0.63	1	0.571501	0.00415149	52437
0.65	1	0.614515	0.00237988	55041
0.7	1	0.687377	0.00117671	59541
0.75	1	0.745113	0.000940681	66805
0.8	1	0.797917	0.000748669	73724
0.85	1	0.849524	0.000643007	82010
0.9	1	0.899723	0.00051347	91180
0.95	1	0.950026	0.000376261	100309
