# p	Percolation_Prob	Avg_Cluster_Size	Std_dev	Time_ms
0	0	0	0	27
0.05	0	0	0	41
0.1	0	0	0	53
0.15	0	0	0	65
0.2	0	0	0	79
0.25	0	0	0	92
0.3	0	0	0	107
0.35	0	0	0	122
0.4	0	0	0	141
0.45	0	0	0	164
0.5	0.03	0.166016	0.00683594	194
0.55	0.24	0.262451	0.0835276	226
0.6	0.72	0.404657	0.0947656	266
0.65	1	0.545196	0.0864626	309
0.7	1	0.665957	0.0351844	360
0.75	1	0.738999	0.0176387	394
0.8	1	0.792515	0.014311	431
0.85	1	0.848011	0.0123233	471
0.9	1	0.898013	0.00970312	500
0.95	1	0.94967	0.00717615	510
0.56	0.29	0.282306	0.0890396	236
0.57	0.47	0.321533	0.0943198	244
0.58	0.59	0.330035	0.0827437	249
0.59	0.63	0.3541	0.0990387	257
0.6	0.76	0.374889	0.0971141	264
0.61	0.87	0.423434	0.0984173	276
0.62	0.92	0.464945	0.09018	285
0.63	0.95	0.492373	0.0887803	299
